Spadek	DN	100	DN	150	DN	200	DN	250	DN	300	DN	350
	Q	v	Q	v	Q	v	Q	v	Q	v	Q	
%o	I/s	m/s	I/s	m/s	I/s	m/s	I/s	m/s	I/s	m/s	l/s	m/s
0,2	0,7	0,09	2,2	0,12	4,7	0,15	8,6	0,17	13,9	0,2	20,9	0,22
0,4	1,1	0,13	3,1	0,18	6,7	0,21	12,1	0,25	19,7	0,28	29,6	0,31
0,6	1,3	0,16	3,8	0,22	8,2	0,26	14,9	0,3	24,1	0,34	36,3	0,38
0,8	1,5	0,19	4,4	0,25	9,5	0,3	17,2	0,35	27,8	0,39	41,9	0,44
1	1,7	0,21	4,9	0,28	10,6	0,34	19,2	0,39	31,1	0,44	46,8	0,49
1,2	1,8	0,23	5,4	0,31	11,6	0,37	21	0,43	34,1	0,48	51,3	0,53
1,4	2	0,25	5,8	0,33	12,5	0,4	22,7	0,46	36,8	0,52	55,4	0,58
1,6	2,1	0,27	6,2	0,35	13,4	0,43	24,3	0,49	39,4	0,56	59,2	0,62
1,8	2,2	0,28	6,6	0,37	14,2	0,45	25,7	0,52	41,7	0,59	62,8	0,65
2	2,4	0,3	7	0,39	15	0,48	27,1	0,55	44	0,62	66,2	0,69
2,2	2,5	0,31	7,3	0,41	15,7	0,5	28,5	0,58	46,2	0,65	69,4	0,72
2,4	2,6	0,33	7,6	0,43	16,4	0,52	29,7	0,61	48,2	0,68	72,5	0,75
2,6	2,7	0,34	7,9	0,45	17,1	0,54	30,9	0,63	50,2	0,71	75,5	0,78
2,8	2,8	0,35	8,2	0,47	17,7	0,56	32,1	0,65	52,1	0,74	78,3	0,81
3	2,9	0,37	8,5	0,48	18,4	0,58	33,2	0,68	53,9	0,76	81,1	0,84
3,2	3	0,38	8,8	0,5	19	0,6	34,3	0,7	55,7	0,79	83,7	0,87
3,4	3,1	0,39	9,1	0,51	19,5	0,62	35,4	0,72	57,4	0,81	86,3	0,9
3,6	3,2	0,4	9,3	0,53	20,1	0,64	36,4	0,74	59	0,84	88,8	0,92
3,8	3,2	0,41	9,6	0,54	20,7	0,66	37,4	0,76	60,7	0,86	91,3	0,95
4	3,3	0,42	9,8	0,56	21,2	0,68	38,4	0,78	62,2	0,88	93,6	0,97
4,2	3,4	0,43	10,1	0,57	21,7	0,69	39,3	0,8	63,8	0,9	95,9	1
4,4	3,5	0,44	10,3	0,58	22,2	0,71	40,2	0,82	65,3	0,92	98,2	1,02
4,6	3,6	0,45	10,6	0,6	22,7	0,72	41,1	0,84	66,7	0,94	100	1,04
4,8	3,6	0,46	10,8	0,61	23,2	0,74	42	0,86	68,2	0,96	103	1,07
